KO	ph4.txt	ph45.txt	ph5.txt	ph55.txt	ph6.txt	ph65.txt	ph7.txt
K17421	0	0	0	0	1	0	0	K17421
K17422	1	0	1	0	0	0	0	K17422
K17427	1	0	2	0	0	0	0	K17427
K17430	0	0	1	0	0	0	0	K17430
K17435	1	1	0	0	1	0	0	K17435
K17437	1	0	0	0	0	0	0	K17437
K17438	1	0	1	0	0	0	0	K17438
K17439	0	0	1	0	0	0	0	K17439
K17440	0	0	1	0	0	0	0	K17440
K17462	4	4	8	11	7	4	2	K17462
K17463	0	0	1	0	0	0	0	K17463
K17468	37	65	208	246	285	204	104	K17468
K17472	3	8	15	9	7	5	3	K17472
K17486	0	0	0	1	0	0	0	K17486
K17488	30	32	70	46	46	22	13	K17488
K17489	0	1	10	8	2	0	0	K17489
K17490	0	0	13	16	10	5	0	K17490
K17491	2	0	2	1	1	0	0	K17491
K17496	0	0	1	0	0	0	0	K17496
K17497	19	23	52	37	17	10	3	K17497
K17498	1	0	1	0	0	0	0	K17498
K17508	1	0	4	0	0	0	0	K17508
K17509	6	8	32	39	61	38	14	K17509
K17525	0	0	1	1	0	0	0	K17525
K17527	0	0	0	0	1	0	0	K17527
K17560	1	0	0	0	0	0	0	K17560
K17578	0	0	1	0	0	0	0	K17578
K17583	0	0	2	0	0	0	0	K17583
K17592	8	6	33	18	11	7	5	K17592
K17600	0	1	0	0	0	0	0	"vacuolar protein sorting-associated protein 54"
K17601	0	1	5	1	1	1	0	K17601
K17605	1	2	1	0	1	0	0	K17605
K17606	1	0	1	0	0	0	0	K17606
K17607	1	0	2	0	0	0	0	K17607
K17608	0	0	1	0	1	1	1	K17608
K17609	21	29	72	103	192	114	72	K17609
K17617	1	0	0	0	0	0	0	K17617
K17619	0	0	1	0	0	0	2	K17619
K17623	0	0	0	3	11	5	0	K17623
K17624	0	0	0	1	4	1	0	K17624
K17640	0	1	1	1	1	2	2	K17640
K17641	5	6	7	1	5	0	0	K17641
K17662	76	77	276	336	503	320	167	K17662
K17675	96	108	332	396	547	370	244	K17675
K17676	0	0	1	0	0	0	0	K17676
K17677	1	2	11	6	6	1	0	K17677
K17680	1	3	5	3	0	0	1	K17680
K17681	1	0	0	0	0	0	0	K17681
K17686	94	133	400	385	506	267	172	K17686
K17713	295	371	1277	1812	4534	3836	2715	K17713
K17722	20	26	85	79	79	37	22	K17722
K17723	35	40	114	100	145	72	55	K17723
K17724	22	43	182	208	305	192	128	K17724
K17725	40	60	215	266	425	288	186	K17725
K17733	16	23	87	126	212	139	90	K17733
K17734	29	49	274	290	508	357	242	K17734
K17735	12	14	61	68	97	50	22	K17735
K17736	0	0	1	1	7	4	1	K17736
K17737	9	12	58	59	106	64	47	K17737
K17742	4	3	6	2	3	2	0	K17742
K17743	0	0	0	1	4	1	1	K17743
K17744	0	2	6	1	4	0	1	K17744
K17752	207	275	877	947	1324	869	563	K17752
K17755	0	0	1	0	1	0	0	K17755
K17756	6	11	28	32	35	13	12	K17756
K17758	32	42	144	139	231	144	110	K17758
K17760	2	5	55	63	58	35	25	K17760
K17762	127	143	463	480	735	452	323	K17762
K17763	144	169	526	596	1211	764	484	K17763
K17764	1	0	3	0	0	0	0	K17764
K17765	0	0	1	0	0	0	0	K17765
K17769	0	0	1	0	0	0	0	K17769
K17770	0	0	2	0	0	0	0	K17770
K17773	0	0	0	0	1	1	0	K17773
K17774	1	1	1	0	0	0	0	K17774
K17775	0	0	1	0	0	0	0	K17775
K17776	0	0	0	0	3	2	4	K17776
K17782	0	0	1	0	0	0	0	K17782
K17783	1	0	0	0	0	0	0	K17783
K17785	3	2	5	6	5	4	1	K17785
K17787	1	0	0	0	0	0	0	K17787
K17788	0	0	1	0	0	0	0	K17788
K17790	0	0	1	0	0	0	0	K17790
K17792	1	0	1	0	0	0	0	K17792
K17794	0	0	3	0	0	0	0	K17794
K17795	0	0	2	0	0	0	0	K17795
K17796	1	0	0	0	0	0	0	K17796
K17800	1	1	2	0	0	0	0	K17800
K17801	1	0	0	0	0	0	0	K17801
K17802	0	0	1	0	0	0	0	K17802
K17803	1	0	2	9	33	14	7	K17803
K17804	8	17	76	103	135	80	33	K17804
K17805	0	0	2	0	0	0	0	K17805
K17806	1	0	0	0	0	0	0	K17806
K17807	0	1	1	0	0	0	0	K17807
K17808	1	0	0	0	0	0	0	K17808
K17809	0	0	0	0	0	0	1	K17809
K17810	86	118	370	332	420	227	157	K17810
K17811	4	3	6	5	14	7	10	K17811
K17815	1	0	1	0	0	0	0	K17815
K17816	0	0	0	1	0	0	0	K17816
K17818	3	4	3	0	2	1	0	K17818
K17828	157	202	498	491	683	442	299	K17828
K17829	13	12	22	24	18	13	11	K17829
K17830	15	23	60	69	146	98	67	K17830
K17831	0	0	0	0	1	0	0	K17831
K17835	1	0	2	1	0	2	0	K17835
K17836	374	491	1418	1563	2585	1811	1213	K17836
K17837	58	108	516	658	1166	931	620	K17837
K17838	1	2	10	30	72	36	31	K17838
K17839	3	8	11	6	2	4	0	K17839
K17840	18	17	44	65	169	139	87	K17840
K17850	0	0	12	15	15	8	6	K17850
K17865	25	51	106	118	220	157	105	K17865
K17872	0	0	0	1	4	8	3	K17872
K17878	0	0	1	0	0	0	0	K17878
K17879	25	27	72	73	94	74	44	K17879
K17880	34	37	105	85	122	59	32	K17880
K17882	2	3	4	0	1	0	0	K17882
K17883	9	4	11	10	27	5	11	K17883
K17884	58	76	199	197	240	150	104	K17884
K17890	2	2	12	2	1	2	1	K17890
K17892	5	11	24	37	54	49	40	K17892
K17893	14	17	66	68	153	136	126	K17893
K17899	0	0	0	0	0	1	0	K17899
K17900	1	1	2	0	0	0	0	K17900
K17906	0	0	1	0	0	0	0	K17906
K17910	14	19	34	27	16	9	10	K17910
K17917	0	1	0	2	1	0	0	K17917
K17919	0	0	1	0	0	0	0	K17919
K17922	1	0	1	0	0	0	0	K17922
K17938	4	7	35	51	89	56	24	K17938
K17943	0	0	3	0	0	0	0	K17943
K17945	0	0	1	0	0	0	0	K17945
K17947	125	139	416	365	345	164	117	K17947
K17948	3	4	4	3	3	1	1	K17948
K17950	3	5	20	19	11	4	0	K17950
K17969	0	0	1	0	0	0	0	K17969
K17973	0	0	0	0	0	1	0	K17973
K17974	0	0	1	0	0	0	0	K17974
K17981	2	0	1	0	0	0	0	K17981
K17983	0	1	0	0	0	0	0	"sensitive to high expression protein 9, mitochondrial"
K17987	25	25	39	48	264	193	192	K17987
K17989	0	1	7	5	9	8	6	K17989
K17991	0	0	0	0	4	0	0	K17991
K17992	0	0	1	1	2	3	2	K17992
K17993	13	21	68	69	52	22	18	K17993
K17994	16	26	95	103	88	32	25	K17994
K17995	3	7	30	23	11	3	2	K17995
K17996	7	17	72	61	50	17	13	K17996
K18005	0	0	5	3	11	11	3	K18005
K18006	0	0	3	2	3	2	0	K18006
K18007	4	8	118	108	68	28	7	K18007
K18009	98	117	322	299	412	229	164	K18009
K18011	7	12	32	31	20	10	5	K18011
K18012	10	14	42	25	25	4	2	K18012
K18013	258	296	756	882	1536	1027	658	K18013
K18014	45	37	103	81	121	54	34	K18014
K18022	0	0	0	0	1	0	1	K18022
K18023	0	0	5	8	8	4	3	K18023
K18028	8	10	31	33	64	45	34	K18028
K18029	117	153	522	573	722	456	282	K18029
K18030	53	118	369	396	388	193	120	K18030
K18042	0	0	0	0	1	0	0	K18042
K18055	0	0	1	0	3	3	2	K18055
K18057	0	1	0	0	0	0	0	"pentalenolactone F synthase [EC:1.14.11.36]"
K18058	25	22	43	33	88	58	28	K18058
K18067	36	48	199	192	249	155	93	K18067
K18068	125	157	497	488	459	273	168	K18068
K18069	1	3	17	30	35	11	9	K18069
K18070	0	0	1	0	0	0	0	K18070
K18071	0	0	0	1	1	0	0	K18071
K18075	0	0	2	3	7	1	3	K18075
K18076	0	0	1	1	1	0	0	K18076
K18077	0	0	0	1	2	1	1	K18077
K18092	0	0	0	1	2	0	0	K18092
K18093	0	0	0	0	3	0	0	K18093
K18096	0	1	27	37	23	11	4	K18096
K18098	1	3	23	22	18	10	3	K18098
K18100	0	0	2	0	2	3	0	K18100
K18101	35	38	164	147	204	135	90	K18101
K18104	0	0	1	0	0	0	0	K18104
K18106	6	9	13	24	17	21	6	K18106
K18109	0	0	0	0	1	0	0	K18109
K18118	0	1	12	11	10	4	2	K18118
K18119	0	0	3	0	5	4	3	K18119
K18122	5	17	87	98	110	40	27	K18122
K18123	43	67	158	167	176	124	77	K18123
K18131	0	0	1	0	0	0	0	K18131
K18135	0	0	0	0	1	0	0	K18135
K18136	0	0	2	3	11	4	2	K18136
K18138	12	12	37	43	50	19	12	K18138
K18139	44	62	330	408	473	252	122	K18139
K18143	0	1	0	1	0	0	0	K18143
K18144	0	0	2	1	0	0	0	K18144
K18148	0	1	9	17	19	10	6	K18148
K18151	6	6	41	49	32	10	6	K18151
K18156	1	0	4	0	0	0	0	K18156
K18158	0	0	1	0	0	0	0	K18158
K18159	1	0	6	5	8	7	6	K18159
K18162	30	40	113	135	144	86	29	K18162
K18163	5	11	21	20	16	2	1	K18163
K18164	18	30	93	125	137	79	35	K18164
K18166	32	53	154	196	380	259	192	K18166
K18171	1	0	0	0	0	0	0	K18171
K18172	1	0	0	0	0	0	0	K18172
K18173	2	1	17	25	47	29	11	K18173
K18174	0	0	0	1	0	0	0	K18174
K18176	2	0	0	0	0	0	0	K18176
K18178	0	1	2	0	0	0	0	K18178
K18179	1	0	1	0	0	0	0	K18179
K18187	0	1	1	1	0	0	0	K18187
K18188	1	0	0	0	0	0	0	K18188
K18189	458	491	1223	1420	2458	1780	1202	K18189
K18192	0	0	1	0	1	0	0	K18192
K18195	40	47	172	179	164	82	51	K18195
K18197	37	51	98	146	689	687	527	K18197
K18199	73	86	211	189	285	187	115	K18199
K18201	29	36	141	146	350	248	151	K18201
K18208	7	11	41	27	65	49	36	K18208
K18209	0	1	2	3	0	0	0	K18209
K18214	12	21	50	30	61	27	22	K18214
K18215	0	0	0	1	5	1	3	K18215
K18218	0	0	0	1	0	0	1	K18218
K18220	7	7	22	14	17	5	1	K18220
K18223	4	3	7	4	4	3	0	K18223
K18224	9	7	12	7	16	6	1	K18224
K18225	7	9	22	10	13	6	2	K18225
K18226	20	19	34	37	56	24	19	K18226
K18227	8	7	33	34	25	8	3	K18227
K18230	5	7	15	12	7	0	0	K18230
K18231	0	0	1	0	0	0	0	K18231
K18232	2	4	4	2	4	2	1	K18232
K18233	6	5	13	6	9	1	4	K18233
K18234	1	0	7	12	26	21	13	K18234
K18235	231	282	890	935	1361	977	661	K18235
K18236	3	1	4	4	13	4	2	K18236
K18240	10	15	31	36	72	51	31	K18240
K18242	1	1	9	10	15	6	5	K18242
K18243	3	2	18	31	51	35	22	K18243
K18248	0	0	0	0	2	0	0	K18248
K18252	1	0	1	2	2	0	0	K18252
K18256	6	9	21	19	24	19	10	K18256
K18258	15	33	122	154	299	219	125	K18258
K18276	0	0	0	1	0	0	0	K18276
K18277	2	2	4	7	14	6	2	K18277
K18285	50	86	233	237	305	195	127	K18285
K18286	26	48	108	84	62	18	5	K18286
K18287	1	0	2	0	0	1	0	K18287
K18288	0	0	1	1	4	0	1	K18288
K18289	28	43	137	146	204	134	76	K18289
K18290	224	246	582	574	874	608	397	K18290
K18291	0	0	0	0	0	0	1	K18291
K18292	0	2	8	8	5	1	2	K18292
K18294	8	12	41	37	29	21	9	K18294
K18297	6	11	35	37	83	26	23	K18297
K18298	4	2	4	11	32	22	20	K18298
K18299	5	11	26	14	7	6	2	K18299
K18300	10	7	30	39	54	28	16	K18300
K18301	44	74	195	183	199	111	56	K18301
K18302	8	6	20	23	48	27	17	K18302
K18303	3	3	6	12	17	4	3	K18303
K18304	0	0	6	7	9	5	2	K18304
K18305	0	0	1	5	9	0	0	K18305
K18306	7	11	29	25	19	10	2	K18306
K18307	5	2	5	7	3	2	0	K18307
K18313	1	1	1	1	2	1	1	K18313
K18314	1	0	1	0	0	0	0	K18314
K18315	0	0	1	1	0	0	0	K18315
K18316	0	0	0	1	0	0	0	K18316
K18317	0	0	1	1	0	0	0	K18317
K18319	0	0	0	1	0	0	0	K18319
K18320	10	15	74	60	67	40	21	K18320
K18325	0	0	0	0	1	0	0	K18325
K18326	0	0	3	5	5	2	2	K18326
K18327	0	1	1	0	0	0	0	K18327
K18328	2	0	2	0	1	0	0	K18328
K18331	0	0	0	0	1	0	0	K18331
K18332	0	0	0	1	1	0	0	K18332
K18333	24	28	107	102	82	48	34	K18333
K18334	41	43	103	88	137	96	50	K18334
K18335	127	150	401	429	468	299	171	K18335
K18336	88	122	292	315	421	269	197	K18336
K18337	4	5	12	8	7	3	1	K18337
K18342	1	0	0	0	0	0	0	K18342
K18346	47	54	246	248	439	254	163	K18346
K18347	5	8	12	11	1	1	0	K18347
K18351	79	62	136	84	86	45	26	K18351
K18352	23	15	32	22	23	11	9	K18352
K18353	34	41	145	148	266	147	99	K18353
K18358	0	0	0	0	0	0	1	K18358
K18361	0	0	0	1	1	0	0	K18361
K18362	0	0	4	9	16	14	8	K18362
K18363	0	0	3	6	10	9	2	K18363
K18364	0	0	2	5	12	6	6	K18364
K18365	1	0	2	6	8	2	2	K18365
K18366	1	0	2	5	6	4	2	K18366
K18367	5	13	31	23	18	5	2	K18367
K18369	32	34	124	143	195	106	56	K18369
K18371	0	0	1	1	0	1	0	K18371
K18372	35	58	228	235	312	198	125	K18372
K18373	1	1	9	7	11	0	0	K18373
K18374	0	0	6	3	1	0	0	K18374
K18376	0	0	2	1	0	0	0	K18376
K18381	0	0	7	5	3	0	0	K18381
K18382	12	18	26	17	22	9	2	K18382
K18383	39	44	122	122	138	89	69	K18383
K18384	0	0	1	2	2	1	1	K18384
K18399	3	3	14	12	8	1	1	K18399
K18423	0	1	1	0	0	0	0	K18423
K18425	3	1	3	2	4	5	1	K18425
K18426	0	0	0	0	1	0	0	K18426
K18428	0	0	1	1	0	0	0	K18428
K18429	2	3	14	11	8	2	1	K18429
K18430	5	5	13	18	28	14	6	K18430
K18431	5	14	41	55	152	103	79	K18431
K18434	0	0	2	2	2	1	0	K18434
K18445	0	0	1	1	0	0	0	K18445
K18446	100	102	308	354	602	367	248	K18446
K18447	0	0	0	2	0	0	0	K18447
K18453	27	39	111	136	234	162	120	K18453
K18455	38	37	88	84	79	39	30	K18455
K18456	38	52	153	114	137	67	35	K18456
K18457	18	20	44	35	38	15	3	K18457
K18459	9	12	32	31	31	13	7	K18459
K18466	1	2	0	0	0	0	0	"vacuolar protein sorting-associated protein 26A/B"
K18468	0	0	3	0	1	0	0	K18468
K18471	0	1	8	5	8	7	2	K18471
K18472	7	9	19	20	15	2	2	K18472
K18473	0	0	0	0	1	0	0	K18473
K18475	25	23	61	57	96	68	49	K18475
K18476	333	325	774	682	1240	732	464	K18476
K18477	0	1	0	0	0	0	0	"type IV protein arginine methyltransferase [EC:2.1.1.322]"
K18478	29	55	171	185	258	161	107	K18478
K18479	6	4	17	18	19	6	4	K18479
K18480	53	70	203	259	395	232	145	K18480
K18481	107	92	184	220	372	197	111	K18481
K18482	0	1	0	7	31	45	32	K18482
K18532	2	1	3	0	5	7	4	K18532
K18534	0	0	0	0	1	1	1	K18534
K18537	2	2	1	1	1	1	1	K18537
K18545	0	0	0	4	9	1	0	K18545
K18546	1	0	1	0	8	7	0	K18546
K18553	1	0	0	0	2	0	0	K18553
K18554	79	59	179	179	334	186	111	K18554
K18555	53	56	155	131	149	60	41	K18555
K18567	0	1	2	0	0	0	0	K18567
K18574	0	0	0	1	2	1	0	K18574
K18575	2	0	16	21	51	34	25	K18575
K18576	13	12	18	8	19	10	4	K18576
K18577	8	15	31	25	8	0	0	K18577
K18578	3	4	14	14	13	5	2	K18578
K18581	86	108	344	417	751	504	326	K18581
K18584	0	0	1	0	0	0	0	K18584
K18586	5	7	58	86	199	103	57	K18586
K18587	75	73	233	282	386	247	168	K18587
K18588	139	146	430	566	961	721	449	K18588
K18592	0	0	0	0	1	0	0	K18592
K18593	0	1	0	0	0	0	0	"4-hydroxybutyrate---CoA ligase (ADP-forming) [EC:6.2.1.56]"
K18594	2	3	3	3	4	7	3	K18594
K18601	2	2	3	2	2	2	0	K18601
K18602	1	3	3	3	9	9	3	K18602
K18603	0	1	2	1	1	1	2	K18603
K18604	0	0	0	1	0	0	0	K18604
K18605	0	1	1	1	2	2	1	K18605
K18607	0	0	0	0	1	0	0	K18607
K18608	0	1	0	3	5	0	0	K18608
K18609	1	1	2	1	4	2	1	K18609
K18610	0	1	0	2	1	1	1	K18610
K18611	10	10	31	24	16	5	4	K18611
K18612	0	0	0	1	0	0	0	K18612
K18614	0	0	0	1	0	0	0	K18614
K18622	27	36	186	232	401	249	164	K18622
K18640	4	5	31	30	49	24	23	K18640
K18643	0	0	0	1	0	1	0	K18643
K18649	26	30	96	104	97	42	16	K18649
K18650	0	0	0	1	2	1	0	K18650
K18660	0	0	12	13	39	41	36	K18660
K18661	20	29	115	115	132	84	44	K18661
K18662	1	1	1	0	0	0	0	K18662
K18665	2	2	2	0	1	0	0	K18665
K18666	0	0	1	0	0	0	0	K18666
K18667	0	0	1	0	0	0	0	K18667
K18672	203	222	692	870	1796	1437	955	K18672
K18673	0	0	1	0	0	0	0	K18673
K18675	0	0	1	2	1	0	0	K18675
K18676	113	172	441	443	619	408	272	K18676
K18677	0	0	2	3	2	2	2	K18677
K18678	17	23	56	76	227	183	139	K18678
K18682	429	363	937	1128	2404	1869	1234	K18682
K18687	17	16	32	24	22	12	4	K18687
K18688	64	52	135	133	133	71	40	K18688
K18691	17	32	90	150	494	427	334	K18691
K18697	43	41	104	114	200	144	76	K18697
K18700	221	232	656	719	1022	673	483	K18700
K18701	0	0	2	1	3	1	2	K18701
K18702	71	89	230	226	371	240	181	K18702
K18703	1	3	7	8	19	3	5	K18703
K18704	0	0	1	0	3	0	0	K18704
K18707	62	88	280	279	345	174	99	K18707
K18710	1	0	0	0	0	0	0	K18710
K18715	0	0	1	0	0	0	0	K18715
K18723	1	0	1	0	0	0	0	K18723
K18724	0	1	1	0	0	0	0	K18724
K18730	0	0	1	0	0	0	0	K18730
K18738	0	0	1	0	0	0	0	K18738
K18740	0	1	1	0	0	0	0	K18740
K18749	2	2	2	0	0	0	0	K18749
K18765	0	0	0	1	3	2	1	K18765
K18776	0	0	1	0	0	0	0	K18776
K18778	20	19	88	120	232	188	149	K18778
K18779	3	5	8	5	13	11	7	K18779
K18783	0	0	0	0	1	0	0	K18783
K18785	4	12	66	64	44	18	8	K18785
K18786	0	0	1	2	1	0	0	K18786
K18799	0	0	1	0	1	0	0	K18799
K18800	5	5	16	14	33	18	14	K18800
K18802	3	10	44	62	136	97	77	K18802
K18814	7	6	56	70	81	46	32	K18814
K18815	13	15	28	20	64	42	36	K18815
K18816	32	59	162	189	365	274	218	K18816
K18817	35	30	74	43	37	27	9	K18817
K18819	0	0	1	0	0	0	0	K18819
K18820	0	0	1	0	3	1	1	K18820
K18824	7	7	23	17	4	1	1	K18824
K18828	235	237	551	441	470	313	210	K18828
K18829	192	167	411	411	475	325	218	K18829
K18831	741	700	1560	1253	1256	730	398	K18831
K18833	0	0	0	0	21	29	26	K18833
K18841	25	26	39	30	22	7	6	K18841
K18842	38	25	54	40	25	15	5	K18842
K18843	1263	1253	2882	2478	2642	1577	1112	K18843
K18844	96	110	230	183	247	125	79	K18844
K18845	32	25	54	32	25	12	8	K18845
K18846	0	1	6	9	14	11	5	K18846
K18849	1	2	0	0	1	0	0	K18849
K18850	22	15	73	109	290	208	138	K18850
K18851	30	38	52	62	80	40	21	K18851
K18853	5	5	20	22	23	25	20	K18853
K18855	16	26	63	66	72	38	23	K18855
K18862	0	1	0	0	0	1	0	K18862
K18866	0	0	0	0	1	0	0	K18866
K18882	4	4	8	3	17	14	11	K18882
K18887	30	38	65	44	65	25	8	K18887
K18888	34	38	64	42	55	16	19	K18888
K18889	56	85	226	208	263	141	99	K18889
K18890	46	69	194	186	240	150	98	K18890
K18893	6	12	28	29	26	25	12	K18893
K18896	8	13	37	22	27	13	6	K18896
K18897	28	30	93	86	110	67	38	K18897
K18900	17	27	111	133	226	140	83	K18900
K18901	4	2	8	13	33	17	14	K18901
K18902	0	0	3	4	4	2	1	K18902
K18903	42	67	248	238	177	59	32	K18903
K18904	13	8	63	65	60	26	15	K18904
K18905	5	11	39	68	82	49	20	K18905
K18907	2	1	6	3	2	1	1	K18907
K18908	1	0	1	0	0	0	0	K18908
K18909	1	0	1	1	3	0	0	K18909
K18910	106	116	345	371	495	362	231	K18910
K18911	167	215	613	653	841	501	327	K18911
K18912	135	179	472	542	839	513	349	K18912
K18913	3	3	2	1	6	2	0	K18913
K18914	1	3	5	3	6	2	1	K18914
K18916	0	1	5	5	3	0	0	K18916
K18917	177	156	288	248	292	173	86	K18917
K18918	165	149	313	225	242	167	105	K18918
K18923	19	14	17	19	23	13	5	K18923
K18924	1	1	2	0	0	0	0	K18924
K18925	0	0	1	2	1	1	0	K18925
K18926	36	38	67	29	31	10	4	K18926
K18928	93	121	343	305	453	293	181	K18928
K18929	90	104	317	300	382	225	161	K18929
K18930	4	6	25	17	58	41	28	K18930
K18933	16	19	40	33	37	15	10	K18933
K18937	1	0	1	2	3	1	0	K18937
K18939	20	33	91	105	195	111	75	K18939
K18940	1	0	7	8	21	16	8	K18940
K18943	0	0	0	1	0	0	0	K18943
K18944	0	0	0	1	0	0	0	K18944
K18946	0	0	0	1	0	0	0	K18946
K18950	0	0	0	1	0	0	0	K18950
K18954	33	41	139	205	368	195	121	K18954
K18955	408	347	764	660	931	619	389	K18955
K18956	1	0	0	0	0	0	0	K18956
K18957	0	1	1	3	8	4	3	K18957
K18958	73	65	153	137	213	135	84	K18958
K18959	2	1	4	2	2	0	0	K18959
K18960	10	17	66	56	60	23	21	K18960
K18962	0	0	0	0	2	0	0	K18962
K18967	0	0	0	2	4	2	5	K18967
K18968	4	6	8	12	15	11	7	K18968
K18979	572	552	1475	1712	3029	2296	1578	K18979
K18981	29	41	109	111	126	71	49	K18981
K18982	4	19	77	91	120	72	38	K18982
K18983	35	54	150	117	155	90	63	K18983
K18984	0	0	1	1	0	0	0	K18984
K18988	28	39	177	174	288	202	146	K18988
K18989	1	3	9	18	15	10	4	K18989
K18990	1	2	19	28	38	19	9	K18990
K18991	8	7	40	55	153	91	51	K18991
K18996	17	11	42	29	52	20	8	K18996
K18997	89	78	210	213	327	195	116	K18997
K19000	1	4	14	28	65	46	30	K19000
K19002	25	44	101	77	133	76	48	K19002
K19003	13	7	25	28	19	9	2	K19003
K19032	0	0	0	1	0	0	0	K19032
K19033	27	31	55	69	120	84	65	K19033
K19036	0	0	0	0	1	1	0	K19036
K19046	62	51	98	58	36	11	6	K19046
K19048	10	7	36	35	49	17	14	K19048
K19049	3	2	6	1	1	0	2	K19049
K19051	1	4	34	35	41	15	12	K19051
K19055	89	115	451	580	936	694	427	K19055
K19057	0	1	0	0	0	0	0	"MerR family transcriptional regulator, mercuric resistance operon regulatory protein"
K19058	17	24	47	57	77	39	17	K19058
K19059	0	0	4	8	4	0	0	K19059
K19064	4	7	22	47	101	62	36	K19064
K19065	0	0	0	0	1	0	0	K19065
K19068	11	10	30	33	57	28	17	K19068
K19073	0	0	4	3	4	2	1	K19073
K19075	26	25	51	26	10	6	1	K19075
K19076	11	7	37	13	2	1	0	K19076
K19085	4	5	5	1	0	0	0	K19085
K19088	12	11	25	10	5	2	2	K19088
K19090	10	12	22	14	12	4	2	K19090
K19091	57	45	123	54	28	13	11	K19091
K19092	915	891	2152	1929	2416	1670	1110	K19092
K19093	0	1	5	4	10	7	4	K19093
K19113	33	48	193	259	439	309	195	K19113
K19114	0	0	2	1	3	0	0	K19114
K19115	0	1	2	1	0	0	0	K19115
K19116	0	0	2	1	1	0	0	K19116
K19117	78	69	123	72	34	13	2	K19117
K19118	71	62	137	87	45	21	6	K19118
K19119	94	85	157	94	54	24	11	K19119
K19120	21	29	56	26	14	7	2	K19120
K19121	14	12	36	14	8	4	2	K19121
K19122	2	2	18	3	1	1	1	K19122
K19123	81	65	109	67	35	15	10	K19123
K19124	38	30	59	26	7	5	3	K19124
K19125	60	46	82	50	29	9	7	K19125
K19126	79	74	121	61	52	30	15	K19126
K19127	1	2	0	0	4	6	1	K19127
K19128	1	2	3	1	5	2	2	K19128
K19129	1	2	4	2	6	3	2	K19129
K19130	1	0	0	3	6	9	2	K19130
K19131	97	85	180	131	82	27	10	K19131
K19132	133	125	255	144	104	57	22	K19132
K19133	0	0	1	0	0	0	0	K19133
K19134	15	10	20	5	1	0	1	K19134
K19135	21	22	83	41	18	8	0	K19135
K19136	16	11	23	13	1	1	0	K19136
K19138	21	29	82	83	67	36	17	K19138
K19139	42	57	163	204	166	75	36	K19139
K19140	8	20	80	73	65	22	10	K19140
K19141	19	12	35	21	2	4	1	K19141
K19142	15	14	47	16	7	2	0	K19142
K19144	9	10	34	12	4	4	2	K19144
K19145	0	1	0	0	0	0	0	"CRISPR-associated protein Csx16"
K19147	92	95	332	294	339	199	144	K19147
K19155	26	26	28	21	31	11	10	K19155
K19156	526	480	1081	913	988	734	500	K19156
K19157	76	67	120	87	71	33	21	K19157
K19158	180	140	256	230	277	150	79	K19158
K19159	229	215	352	288	316	177	126	K19159
K19160	0	0	1	1	1	1	0	K19160
K19162	0	0	1	0	0	0	0	K19162
K19163	41	35	97	96	114	74	49	K19163
K19164	86	65	139	124	174	104	68	K19164
K19165	142	170	336	306	288	148	103	K19165
K19166	263	270	537	510	605	370	228	K19166
K19168	123	117	335	389	595	424	280	K19168
K19169	107	77	270	198	176	105	67	K19169
K19170	49	43	123	95	87	35	19	K19170
K19171	24	16	46	24	9	5	2	K19171
K19172	31	34	75	39	28	15	3	K19172
K19175	10	6	21	8	1	0	0	K19175
K19176	3	7	11	9	4	2	0	K19176
K19177	1	0	2	0	0	0	0	K19177
K19181	7	13	37	32	81	56	25	K19181
K19185	0	1	1	0	4	3	5	K19185
K19186	0	0	0	0	0	0	1	K19186
K19189	2	2	0	2	3	3	3	K19189
K19190	0	0	1	1	2	0	0	K19190
K19200	33	38	117	101	144	76	60	K19200
K19202	2	1	0	0	0	0	0	"histone deacetylase complex subunit SAP30"
K19219	0	0	0	0	3	1	2	K19219
K19221	230	217	454	455	588	383	236	K19221
K19222	292	311	748	768	1252	770	510	K19222
K19224	2	5	10	5	3	0	1	K19224
K19225	208	240	642	653	969	560	373	K19225
K19231	0	0	14	17	9	2	1	K19231
K19242	0	1	0	0	0	0	0	"LysR family transcriptional regulator, repressor for citA"
K19243	5	5	8	5	6	3	0	K19243
K19244	36	68	192	229	464	305	207	K19244
K19245	0	0	1	0	1	0	0	K19245
K19246	1	1	2	3	8	6	3	K19246
K19265	82	88	221	217	298	176	92	K19265
K19267	258	349	1019	1056	1923	1149	704	K19267
K19268	1	5	10	12	42	27	14	K19268
K19270	49	64	180	182	153	69	32	K19270
K19271	4	9	23	32	181	157	157	K19271
K19273	0	1	2	2	8	7	7	K19273
K19278	0	0	0	2	13	10	10	K19278
K19290	0	0	3	10	25	7	5	K19290
K19291	0	0	1	1	10	2	1	K19291
K19292	0	0	0	0	2	3	0	K19292
K19293	0	0	0	0	3	2	0	K19293
K19294	187	219	867	1018	1480	963	571	K19294
K19295	22	34	112	111	190	116	64	K19295
K19296	4	4	1	4	13	7	4	K19296
K19302	190	268	1116	1358	2077	1255	775	K19302
K19303	0	1	1	1	5	5	3	K19303
K19304	99	162	481	650	1224	852	585	K19304
K19306	0	1	2	0	0	0	0	K19306
K19307	0	0	1	2	1	0	0	K19307
K19308	0	1	2	1	0	0	0	K19308
K19311	3	7	27	35	64	31	17	K19311
K19333	48	53	138	136	155	67	44	K19333
K19334	20	15	39	61	173	120	96	K19334
